"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"C2orf74",5.33884916973942e-06,2.27036669275919e-05,7.88460174749533e-07,2.59688259240041e-05,2.7444860632984e-06,9.75094071473e-06,1.83112476396068e-05,2.11513547687958e-05,1.00603621730382e-05,2.000200020002e-05,4.10908705220306e-06,9.45235770047612e-06,2.60895438576147e-05,1.49522513508617e-05,4.80269922979878e-06
"AHSA2",8.26515906350747e-06,1.93703025966274e-05,1.54117836625312e-05,1.96429241026646e-05,1.5887564574566e-05,2.15966254977517e-05,1.58055807243076e-05,1.6778161414174e-05,1.10741971207087e-05,0,4.61557514354988e-05,9.36134812857826e-06,1.92927112652112e-05,3.24285588020281e-05,1.91150221973784e-05
"USP34",2.82568709459848e-05,5.84720976277035e-05,3.43032224113163e-05,3.30749583020013e-05,3.60007164704329e-05,4.37242355207325e-05,4.09732469118029e-05,2.85421195020047e-05,6.42253388342698e-05,1.09938434476693e-05,5.44649788478161e-05,7.54616444931403e-06,3.57964681443741e-05,5.33532106813039e-05,4.95028727295514e-05
"RP11-355B11.2",3.63985789994759e-06,6.38093041663443e-06,5.40984796908014e-06,1.57338559699847e-06,2.46055121268267e-06,9.19033177097693e-05,2.2169685764505e-06,1.30888515253073e-06,0,0,3.19759418305749e-06,1.15586325424843e-06,1.60171112840675e-06,8.35613950885864e-06,6.97802145031087e-06
"XPO1",3.5684249285747e-05,1.99115246741516e-05,2.66154581526889e-05,2.05536188223078e-05,3.04216400467702e-05,5.15169758933729e-05,3.21480273142544e-05,2.51250519209456e-05,3.56711042990311e-05,6.56755124192752e-05,1.9938668149236e-05,9.2482683582561e-06,2.59924285849057e-05,2.6595474002562e-05,2.780295662283e-05
"FAM161A",0,1.14938841963891e-05,7.38632455671549e-06,1.01217714369517e-05,1.68396894855753e-05,1.19200952537819e-05,2.01160897824185e-06,2.59874039380029e-06,0,0,6.30187191192288e-06,5.48501822123053e-07,1.33240423775385e-05,6.50513124752805e-07,4.09696876466474e-06
"CCT4",0.000123961367809105,0.000103104906186436,8.94971843088445e-05,0.000122100388565725,0.000112078156842493,0.000186362161072243,0.000142864857494539,8.73235921507331e-05,0.000126949251197672,8.05469314685219e-05,0.000194552764710138,2.85056296331184e-05,0.000134056188495161,0.000125323210625972,0.000100316056764279
"AC107081.5",0,0,0,2.78923222478088e-07,0,0,0,2.1097313468103e-07,0,0,0,0,0,0,0
"COMMD1",4.37224910598163e-05,7.28105650956415e-05,5.08817294161868e-05,3.68985051961115e-05,4.75859836232023e-05,3.20107476202613e-05,6.63818558369275e-05,7.44756295653277e-05,9.24639281931691e-05,8.16868414289145e-05,4.5112891781954e-05,3.88742670652046e-05,6.25680414261395e-05,4.50138024050682e-05,5.82614631880585e-05
"AC018462.2",0,0,0,0,0,0,3.20076408640271e-07,0,0,0,0,0,5.3948734889406e-07,0,0
