gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5
PLEKHG5,0.8401065890944006,0.0,-0.1291080440742891,0.0,0.0,-0.1297083329775998,0.0,0.5742155721349134,0.024443385497492857,False,False
NOL9,0.04155587842254783,-0.06447370671913258,0.36260627729842654,0.6218905498145202,0.23024101766531008,0.6736896740821173,0.0,0.004613358173990906,0.12159312879785139,False,False
TAS1R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ZBTB48,0.4967831415351592,-0.5401750431734925,1.1321405647474208,0.14014706564984297,0.18975446951016856,0.40360896960210046,0.0,0.22323094415358244,0.08145049845250324,False,False
KLHL21,0.8676529773947298,-0.2568672459618369,0.2164045140783237,0.7595825637760582,1.0711541001583467,0.1884393668503606,0.0,0.6340112935868168,0.12073588843485761,False,False
PHF13,0.3509963913111749,0.4442768943655713,0.3654062160666904,0.7756711470373442,0.669094760680863,0.6366066088096991,0.0,0.3710338818480863,0.05082370490083046,True,False
THAP3,0.2681514639687896,0.2558920138584096,-1.3479751322644455,1.9651340298936946,-0.32609553998397245,0.33526773912418745,-2.7310793308820673,0.2611338823267401,0.03243021681798368,True,False
DNAJC11,0.5264012723861892,0.3943589936759156,0.3767589355498465,-1.2232045469485051,-0.38326040437022935,-0.13312144017689195,-3.794676485922093,0.4808554534824369,0.051281617818195444,True,False
RP11-242F24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
RP11-312B8.1,0.3230471909856665,0.0,0.0,0.0,0.0,0.39677853365152393,0.0,0.20822928741767271,0.0077634688420941496,False,False
CAMTA1,-0.04902817006535565,-1.193477577794571,0.5471093364757514,-0.7517020574552065,0.4689917193307865,-0.08076713535198685,1.3134526067999541,-0.638586887517575,0.4293158998775657,True,False
RP4-549F15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
VAMP3,0.15363595989901457,-0.2945261987576257,-0.11906272645890963,0.18533534759531792,1.338046244276865,-0.43681707615679666,0.0,-0.01680305497777718,0.19938565737607444,False,False
PER3,-0.3207506151386556,-1.3514103819974925,-0.32221978443241117,0.0,0.46706874305866,0.1263202766352999,0.0,-0.8477614084389439,0.05543312408415605,True,False
RP3-467L1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
UTS2,-0.37019348687436043,0.22843281303881108,0.0,-0.9252725473341838,0.5068013908108051,-0.3738451436592792,0.0,-0.14277218653484333,0.015394035889313594,False,False
TNFRSF9,0.060160736974966204,1.4853197506521454,-0.07046079570270986,0.38379496854406525,-0.036052780608617774,-1.724250111321744,1.041622016304622,0.7604821774093165,0.5755042521285783,True,False
PARK7,-0.11794557234043038,-0.16056530895663562,-0.7313565179583272,0.2718889650523822,-0.0227123202983143,-0.6597620597380315,-0.10355637748416366,-0.12776732213056727,3.127010618267425,True,False
ERRFI1,0.05897705364836757,-2.4075951015752084,0.8805077178361662,-0.8911505068517415,-0.6608586181515412,-0.46496965869950474,-2.450243420087232,-0.7119087134583507,0.42392743149501055,False,False
RP11-431K24.1,-0.1025407688169575,0.0,0.0,0.0,0.0,0.0,0.0,-0.06573644910312808,0.002330953429881424,False,False
SLC45A1,-0.239987995830892,0.0,0.0,0.0,0.0,-0.32833038156055033,0.0,-0.15644717778489484,0.005726952991762642,False,False
RERE,0.4547459585594495,-1.297445744949867,-0.14761424867556108,0.7874663843728358,0.6882806730585617,-0.6556061730542899,0.0,0.008822839468036551,0.4000144670815816,False,False
RP5-1115A15.1,-0.1217701840945468,0.0,0.0,0.0,1.1842236486431321,0.2260118960191689,0.0,-0.07824981746978253,0.0027868256717921962,False,False
RP4-633I8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
ENO1,0.043137348429390994,0.013331261546562143,0.10228713770261093,0.030686668267573908,0.07784944745751779,-0.24740078963317613,-2.753819951353289,0.030758001437410674,2.4215090514851894,True,False
