spot_id,base_mixture,scenario,recipe,repeat,depth_fraction,n_cells,nUMI,x,y,coordinate_type
mix_0114_depth100,114,factorial,caf1_cd83_B-cells,0,1.0,10,25066,228,0,synthetic_index
mix_0114_depth25,114,factorial,caf1_cd83_B-cells,0,0.25,10,6411,229,0,synthetic_index
mix_0115_depth100,115,factorial,caf1_cd83_B-cells,1,1.0,10,22441,230,0,synthetic_index
mix_0115_depth25,115,factorial,caf1_cd83_B-cells,1,0.25,10,5542,231,0,synthetic_index
mix_0116_depth100,116,factorial,caf1_cd83_B-cells,2,1.0,10,28503,232,0,synthetic_index
mix_0116_depth25,116,factorial,caf1_cd83_B-cells,2,0.25,10,7066,233,0,synthetic_index
mix_0117_depth100,117,factorial,caf1_cd83_NK cells,0,1.0,10,39113,234,0,synthetic_index
mix_0117_depth25,117,factorial,caf1_cd83_NK cells,0,0.25,10,9909,235,0,synthetic_index
mix_0118_depth100,118,factorial,caf1_cd83_NK cells,1,1.0,10,34823,236,0,synthetic_index
mix_0118_depth25,118,factorial,caf1_cd83_NK cells,1,0.25,10,8712,237,0,synthetic_index
mix_0119_depth100,119,factorial,caf1_cd83_NK cells,2,1.0,10,28203,238,0,synthetic_index
mix_0119_depth25,119,factorial,caf1_cd83_NK cells,2,0.25,10,7070,239,0,synthetic_index
mix_0120_depth100,120,factorial,caf1_cd83_NKT cells,0,1.0,10,29768,240,0,synthetic_index
mix_0120_depth25,120,factorial,caf1_cd83_NKT cells,0,0.25,10,7498,241,0,synthetic_index
mix_0121_depth100,121,factorial,caf1_cd83_NKT cells,1,1.0,10,42914,242,0,synthetic_index
mix_0121_depth25,121,factorial,caf1_cd83_NKT cells,1,0.25,10,10691,243,0,synthetic_index
mix_0122_depth100,122,factorial,caf1_cd83_NKT cells,2,1.0,10,45762,244,0,synthetic_index
mix_0122_depth25,122,factorial,caf1_cd83_NKT cells,2,0.25,10,11374,245,0,synthetic_index
mix_0123_depth100,123,factorial,caf1_cd83_Cycling T-cells,0,1.0,10,29924,246,0,synthetic_index
mix_0123_depth25,123,factorial,caf1_cd83_Cycling T-cells,0,0.25,10,7571,247,0,synthetic_index
mix_0124_depth100,124,factorial,caf1_cd83_Cycling T-cells,1,1.0,10,41813,248,0,synthetic_index
mix_0124_depth25,124,factorial,caf1_cd83_Cycling T-cells,1,0.25,10,10282,249,0,synthetic_index
