donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,coarse_reference_refit,rna,factorial,0.25,T cells,189,2.0181453298342085,2.9171441175851553,-0.05022284550816487,2.396761666528354,36,0.4090258988840899,0.19444444444444445
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,B-cells,189,0.27212560462752666,0.7388988134748501,0.0822914340470837,0.9629536323224348,162,0.1569876000117086,0.043209876543209874
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,CAFs,189,3.3615332721350937,5.086663397911725,-2.820423351836928,5.017927658383216,63,0.048744499638848256,0.0
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,Cancer Epithelial,189,29.441063612724157,31.251092232575328,-29.4225522376439,29.441063612724157,0,,
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,Endothelial,189,0.2598134588341746,0.9185957908659924,-0.1085672436113515,1.4647731713425267,162,0.05898684008278259,0.018518518518518517
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,Myeloid,189,0.3797519276444078,1.0481332826618333,0.07179626852978455,1.9166248638803902,162,0.12360643827174414,0.024691358024691357
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,NK cells,189,1.0794902715486627,1.8318844604208977,0.9101454963750079,1.4370017888981796,162,1.0199050186570766,0.3333333333333333
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,Normal Epithelial,189,34.33607711912479,35.53852297750408,34.33607711912479,,189,34.33607711912479,0.9947089947089947
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,PVL,189,3.373236219219108,4.968720513222658,-3.261921473256197,3.373236219219108,0,,
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,Plasmablasts,189,0.023692573176743836,0.040135009719783316,0.023692573176743836,,189,0.023692573176743836,0.0
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,T cells,189,1.6153098376971096,2.4133127790565063,0.1894614150949643,1.9597561036728866,36,0.1514132073000557,0.05555555555555555
